"die Freiheit (Pl.: die Freiheiten)	","freedom [Kampf {m} um die Freiheit--fight for freedom]"
"die Volkswirtschaft (kein Plural [Volkswirtschaftslehre] / Pl.: die Volkswirtschaften [Wirtschaftssysteme])","economics [econ.] [Volkswirtschaft studieren--to study economics [educ.; econ.]; Magister {m} der Volkswirtschaft--Master of Economics]; national economy [econ.; acad.] [Nationalökonomie] [geschlossene Volkswirtschaft--closed economy [econ.] {e.g. North Korea}] [z.B. 'Hauptgrund für den Ausverkauf [sell-off of stocks globally] der vergangenen Wochen waren die Sorgen um China. In der zweitgrößten Volkswirtschaft der Welt lahmt das Wachstum, die Aktienmärkte sind seit Wochen auf Talfahrt.']"
"der Überblick (Pl.: die Überblicke)	","overview [Übersicht] [einen Überblick geben--to give an overview]"
"das Erdgas (kein Plural)	","natural gas [einen Herd auf Erdgas umstellen--to convert a cooker to natural gas; der Erdgas-PKW--natural gas passenger car [autom.]] [z.B. 'In einer Tiefe von knapp 1500 Metern ist der italienische Energiekonzern Eni vor Ägypten auf Erdgas gestoßen. Nach Angaben des Unternehmens ist es das größte Gasfeld im Mittelmeer.']"
"das Jahrzehnt (Pl.: die Jahrzehnte)	","decade [vor einem Jahrzehnt--a decade ago; ein Jahrzehnt, das im Zeichen der Gewalt stand--a decade marked by violence]"
"die Umgehung ( Pl.: die Umgehungen)	","avoidance [Vermeidung] [die Umgehung der Erbschaftssteuer--the avoidance of inheritance tax; Umgehung einer Vereinbarung--avoidance of an agreement]; evasion [+von Frage]"
"die Entspannung (Pl.: die Entspannungen)","relaxation [Gönnen Sie sich etwas Ruhe und Entspannung.--Allow yourself to enjoy quiet and relaxation.]; easing [Entspannung der Lage--easing of tension]"
"der Atem (kein Plural)	","breath [Atem schöpfen--to take breath; außer Atem--out of breath; tiefer Atem--deep breath; nach Atem ringen--to gasp for breath]"
"die Empörung (Pl.: die Empörungen)	","outrage [über + Akk.--at] [öffentliche Empörung--popular outrage; Empörung hervorrufen--to spark outrage]"
"der Überschuss (Pl.: die Überschüsse)	","surplus [Überschuss an Arbeitskräften--labor surplus; Überschuss der Handelsbilanz--balance of trade surplus (активное сальдо торгового баланса)]"
"das Ungleichgewicht (Pl.: die Ungleichgewichte)","imbalance [wirtschaftliches Ungleichgewicht--economic imbalances [econ.]; Ungleichgewicht in der Außenhandelsbilanz--foreign trade imbalance]"
"die Nachfrage (Pl.: die Nachfragen)	","demand [econ.; comm.] [nach, in +Dat.--for] [schleppende Nachfrage--slack demand; auf Nachfrage--on demand [comm.]; mangels Nachfrage--owing to a lack of demand; Nachfrage bedienen--to satisfy demand [comm.]; Nachfrage {f} nach Konsumgütern--demand for consumer goods [econ.]]; inquiry [Erkundigung] [Danke der Nachfrage.--Thanks for the inquiry.]"
"die Notwendigkeit (Pl.: die Notwendigkeiten)","need [die Notwendigkeit angehen--to address the need; keine Notwendigkeit darin sehen, etw. zu tun--to see no need to do sth.; die dringende Notwendigkeit--the urgency of our needs]"
"die Größe (Pl.: die Größen)	","size [Format, Maßeinheit; Flächeninhalt; Dimension] [von geringer Größe--small in size; etw auf die richtige Größe zurechtschneiden--to cut sth to size; BH-Größe--bra size; Größe einer Stadt--size of a town]; factor; extent [Ausmaß]; greatness [Erhabenheit] [wahre Größe erreichen--to achieve true greatness; er bewies mit seiner Geste menschliche Größe--his gesture showed true human greatness] [z.B. 'Mit neuen Lehrplänen aber, glaubt er, würde die Türkei zu alter Größe wachsen.']"
"das Handeln (kein Plural)	","action [Tun] [staatliches Handeln--government action [pol.]; unüberlegtes Handeln--hasty action; Sofortiges Handeln ist geboten.--Prompt action is required.]"
"das Gleichgewicht (Pl.: die Gleichgewichte)","balance [Stabilität] [Gleichgewicht der Kräfte--balance of power]; equilibrium [Gleichgewicht von Angebot und Nachfrage--equilibrium of supply and demand [econ.]]"
"die Schuld (Pl.: die Schulden)	","debt [Zahlungsverpflichtung] [fin.] [jds. Schuld begleichen--to pay sb.'s debt; eine Schuld eintreiben--to collect a debt; uneinbringliche Schuld--bad debt]; guilt [Schuldhaftigkeit, Schuldgefühl] [seine Schuld bekennen--to acknowledge one's guilt; frei von Schuld sein--to be free of guilt]"
"das Bußgeld (kein Plural)	","fine [admin.] [ein Bußgeld gegen jdn. verhängen--impose a fine on sb. [law; admin.]]"
"die Aufregung (Pl.: die Aufregungen)	","excitement [aufgeregte Erwartung] [große Aufregung--a lot of excitement; vor Aufregung ganz aus dem Häuschen--giddy with excitement; vor Aufregung zittern--to tremble with excitement]; fuss [Was soll die ganze Aufregung?--What's all the fuss about?]"
"das Eingeständnis (Pl.: die Eingeständnisse)","admission [confession] [Eingeständnis der Schuld--admission of guilt; nach eigenem Eingeständnis--by his own admission]; confession"
"die Voraussetzung (Pl.: die Voraussetzungen)","requirement [Erfordernis] [a requirement of cooperation is that ...--eine Mitarbeit hat zur Voraussetzung, dass ...; auf eine Voraussetzung verzichten--to waive a requirement]; prerequisite [Voraussetzung ist jedoch, dass ...--A prerequisite is, however, that ...]; premise [Annahme] [von der Voraussetzung ausgehen, dass …--to start from the premise that ...]; condition [Vorbedingung] [wesentliche Voraussetzung--essential condition]"
"der Hüter (Pl.: die Hüter)	","guardian [Hüter der Tradition--guardian of tradition]"
"der Wahlkampf (Pl.: die Wahlkämpfe)	","election campaign [pol.] [einen Wahlkampf führen--to conduct an election campaign [pol.]]"
"der Blick (Pl.: die Blicke)	","view [prospect, sight] [ein Zimmer mit Blick auf den Park--a room with a view of the park; dem Blick entschwinden--to disappear from view]; look [ein Blick zurück--a retrospective look; ein vorwurfsvoller Blick--a look of reproach; in ihrem Blick lag Verzweiflung--there was a look of despair in her eyes]"
"die Wahl (Pl.: die Wahlen)	","election [pol.] [freie Wahl--free elections; vorgezogene Wahl --early election [pol.]; Wahl eines Präsidenten--election of a president; zur Wahl stehen--to be up for election; bei der Wahl 2008--at the 2008 election]; quality [Güte, Qualität] [erste Wahl--top quality; Waren erster Wahl--top-quality goods; Fleisch erster Wahl--prime meat]"
"der Rat (Pl.: [Person; Institution] die Räte)","council [pol.; admin.] [Rat der Europäischen Union--Council of the European Union (овет Европейского союза)] (совет)"
"der Rat ([Ratschlag] kein Plural [ersatzweise: Ratschläge])","advice [guidance] [brauchbarer Rat--useful advice; jds. Rat erbitten--to ask sb.'s advice; jds. Rat folgen--to follow sb.'s advice]"
"das Guthaben (Pl.: die Guthaben)	","credit [fin.]; assets [on balance sheet] [acc.] [verfügbare Guthaben {pl}--free assets; gesperrte Guthaben--frozen assets]; money on account [ein Guthaben von £500 haben--to have £500 on deposit]"
"die Absage (Pl.: die Absagen)	","cancellation; rejection [an etw (A)--of sth.] [Ablehnung] [eine Absage auf eine Bewerbung--a rejection to a job application; eine Absage an etw (A)--a rejection of sth]"
"die Zugehörigkeit (Pl.: die Zugehörigkeiten)","membership [Mitgliedschaft] [zu--of]; belonging [ein Gefühl der Zugehörigkeit--a sense of belonging]"
"der Nachmittag (Pl.: die Nachmittage)	","afternoon [am Nachmittag--in the afternoon; an einem sonnigen Nachmittag im April--on a sunny April afternoon; unterrichtsfreier Nachmittag--afternoon free of classes [educ.]]"
"die Notlage (Pl.: die Notlagen)	","emergency [finanzielle Notlage--financial emergency; humanitäre Notlage--humanitarian emergency]"
"die Absetzung (Pl.: die Absetzungen)	","deposition [of sovereign] [die Massen verlangten die Absetzung des Diktators--the masses called for the dictator to be deposed]; dismissal [from office]"
"die Anlehnung (Pl.: die Anlehnungen)	","following [Imitation] [an jdn/etw--sb/sth]; dependance [Anschluss] [an + Akk.--on]"
"der Ausspruch (Pl.: die Aussprüche)	remark; quotation","die Einschüchterung (Pl.: die Einschüchterungen)"
"intimidation [China muss die systematische Einschüchterung von Menschenrechtsaktivisten beenden.--China has to put a stop to the systematic intimidation of human rights activists.]","die Versorgung (kein Plural)	"
"supply [Belieferung] [Versorgung {f} mit Lebensmitteln--supply of food; Versorgung mit Rohmaterial--supply of raw materials; die Versorgung mit Strom/Gas/Wasser--the supply of electricity/gas/water; die Versorgung verhindern--to cut off the supply]; support [esp. financial; Unterhalt]","die Leitung (Pl.: die Leitungen)	"
"cable [Kabel] [telecom.; electr.] [elektrische Leitung--electric cable [tech.]]; conduit [tech.] (трубопровод); leadership [+von Partei, Regierung] [die Leitung etw. +Gen. übernehmen--to take over the leadership of sth]; administration [management]; pipeline","die Beratung (Pl.: die Beratungen)	"
"advice [das Beraten, Ratgeben] [fachkundige Beratung--expert advice; neutrale Beratung--independent advice; erstklassige Beratung bieten--to provide high-quality advice]; consulting [eines Kunden, Klienten]; consultation [umfangreiche Beratung--extensive consultation]; discussion [Besprechung] [nach längerer Beratung--after lengthy discussion] [z.B. 'Das neue Modell hat möglicherweise damit zu tun, dass die Partei in Bamberg letztlich gar nicht so viel zu entscheiden hat: Zwar steht zu Beginn noch die Beratung von Anträgen [proposals] an, die auf Nürnberger Parteitag im Dezember nicht zum Zuge kamen - aber das wickeln die Christsozialen routiniert ab.']","das Vorkommen (Pl.: die Vorkommen)	"
"deposit [coal, oil, ore...] [geol.] (залежи)","die Vorkommen {pl} (Sg.: das Vorkommen)"
"resources [z. B. Uranvorkommen; Süßwasservorkommen] [natürliche Vorkommen {pl}--natural resources (природные ресурсы)]","die Sicht (kein Plural [Sehvermögen; Sichtweite] / Pl.: die Sichten [Sichtweisen, Blickwinkel])"
"view [range of vision; Ausblick] [also fig.] [klare Sicht--unobstructed view; aus unserer Sicht--in our view; aus jds. Sicht--from sb.'s point of view; in Sicht kommen--to come into view]","der Rohstoff (Pl.: die Rohstoffe)	"
"raw material [kritische Rohstoffe--critical raw materials] (сырьё); commodity [Verteuerung der Rohstoffe--increase of commodity prices]","die Volksabstimmung (Pl.: die Volksabstimmungen)"
"plebiscite [pol.] [z.B. 'Im November 2014 wurde Cannabis im US-Bundesstaat Alaska per Volksabstimmung legalisiert.']; national referendum [pol.] [z.B. 'Alexis Tsipras hat seinen Willen bekommen. Nach einer hitzigen Marathonsitzung, die mehr als 14 Stunden dauerte, hat das Parlament ein Referendum über das von Griechenlands Geldgebern vorgeschlagene Reformpaket beschlossen. Die Volksabstimmung findet in einer Woche statt, am 5. Juli.']","die Unterstützung (Pl.: die Unterstützungen)"
"support [Tätigkeit, auch Comput.] [zu, für--for] [emotionale Unterstützung--emotional support; finanzielle Unterstützung--financial support; Unterstützung bieten--to provide support; breite Unterstützung erhalten--to receive broad support; jdn. um Unterstützung aufsuchen--to seek sb.'s support]","die Überraschung (Pl.: die Überraschungen)"
"surprise [angenehme Überraschung--pleasant surprise; völlige Überraschung--complete surprise; zur Überraschung aller--to everyone's surprise; eine Überraschung auf Lager haben--to have a surprise in store]","die Zustimmung (Pl.: die Zustimmungen)	"
"approval [schweigende Zustimmung--tacit approval; zur Zustimmung nicken--to nod one's approval; jds Zustimmung haben--to have sb's approval]","die Anerkennung (Pl.: die Anerkennungen)"
"recognition [Anerkennung finden--to find recognition; diplomatische Anerkennung--diplomatic recognition [pol.; law]; Anerkennung {f} eines Palästinenserstaates--recognition of a Palestinian state [pol.]]; approval [recognition, acceptance] [allgemeine Anerkennung finden--to meet with universal approval; nach Anerkennung gieren--to be greedy for approval]; compliment [Lob, Würdigung]","der Beitritt (Pl.: die Beitritte)	"
"accession [zu einem Vertrag; zu--to] [EU-Beitritt--accession to the EU or entry into the European Union; Beitritt {m} zu einem Vertrag--accession to a treaty--accession to a treaty (присоединение к договору)]; joining [zu etw.--sth]","der Gegner (Pl.: die Gegner)	"
"opponent [politischer Gegner--political opponent [pol.]; Gegner verfolgen--to persecute opponents] [z.B. Context: Saudi Arabia had 47 prisoners executed. Among them was a prominent Shiite Sheik Nimr al-Nimr. 'Der 56-jährige Nimr war ein entschiedener Gegner des sunnitischen Königshauses in Riad [capital of Saudi Arabia]. Er wurde wegen seiner Kritik an der Unterdrückung der schiitischen Minderheit eingesperrt. Der Aktivist war für seine Unterstützung friedlichen Protests bekannt.']","der Gegenschlag (Pl.: die Gegenschläge)"
"reaction [mil.], counterblow [mil.]","die Fähigkeit (Pl.: die Fähigkeiten)	"
"ability [außergewöhnliche Fähigkeit--exceptional ability; seine Fähigkeit beweisen--to prove one's ability; Fähigkeit zu lernen--ability to learn]; skill [ihre Fähigkeit, andere zu überreden--her skill in persuading people]","der Flächenbrand (Pl.: die Flächenbrände)"
"wildfire [sich (A) zu einem Flächenbrand ausweiten--to spread like wildfire]","die Fahne (Pl.: die Fahnen)	"
"flag [Rote Fahne--Red Flag; eine Fahne schwenken--to wave a flag; Fahne des Roten Kreuzes--flag of Red Cross; im Winde flatternde Fahne--flag waving in the wind]","die Hochburg ( Pl.: die Hochburgen)	stronghold [fig.]"
"der Widerstand (Pl.: die Widerstände)	","resistance [Größe] [bewaffneter Widerstand--armed resistance; Widerstand leisten--to put up resistance; Widerstand brechen--to overcome resistance; Widerstand ist zwecklos.--Resistance is futile.]"
"die Stellung (Pl.: die Stellungen)	","position [lit.; fig.; mil.; Rang; Posten] [Stellung beziehen--to take up position [mil.]; leitende Stellung--executive position or executive post or managerial position; verantwortliche Stellung--position of authority; eine Stellung räumen--to vacate a position; Stellung zu etw. nehmen--to state one's position on sth.]"
"der Haushalt (Pl.: die Haushalte)	","budget [pol.; fin.] [ausgeglichener Haushalt--balanced budget [fin.]; EU-Haushalt--EU budget [pol.]; den Haushalt belasten--to burden the budget [fin.]]; household [Single-Haushalt--one-person household; einen Haushalt führen--to run a household; Haushalt mit geringem Einkommen--low-income household [comm.]] [z.B. 'Die deutsche Wirtschaft ist im ersten Quartal um 0,7 Prozent gewachsen. Vor allem die privaten Haushalte und der Staat kurbelten das Wachstum an.']; housekeeping [Haushaltsführung]"
"die Einnahme (Pl.: die Einnahmen)	","revenue [fin.] [öffentliche Einnahmen {pl}--public sector revenue [pol.; econ.]; Rückgang {m} der Einnahmen--drop in revenue; Einnahmen {pl} aus dem Tourismus--tourism revenue]; income [fin.]; capture [mil.]"
"der Stachel (Pl.: die Stacheln)	","sting [+von Bienen etc; +von Vorwurf, Hass] [zool.; bot.] [mit einem Stachel bewaffnet--armed with a sting ]"
"der Zwischenfall (Pl.: die Zwischenfälle)","incident [kritischer Zwischenfall--critical incident; die Demonstration verlief ohne Zwischenfälle--the demonstration went off without incident; Zu einem Zwischenfall kam es, als …--An incident occurred when …]"
"die Fluggesellschaft (Pl.: die Fluggesellschaften)","airline [aviat.] [nationale Fluggesellschaft--national airline; diese Fluggesellschaft fliegt Bali an--this airline flies to Bali or operates a service to Bali]"
